Date,Open,High,Low,Close,Adj Close,Volume
2022-01-20,110.80000305175781,111.06999969482422,107.36000061035156,108.87999725341797,106.12044525146484,1967000
2022-01-21,108.25,109.83999633789062,107.5999984741211,109.0,106.23741912841797,1185700
2022-01-24,107.70999908447266,110.13999938964844,105.87999725341797,109.87999725341797,107.0951156616211,1864500
2022-01-25,108.4000015258789,111.30999755859375,107.55999755859375,110.0,107.21207427978516,1391500
2022-01-26,110.83999633789062,113.5999984741211,109.83000183105469,111.12000274658203,108.3036880493164,1140800
2022-01-27,112.37999725341797,113.72000122070312,110.11000061035156,111.0,108.18673706054688,1628700
2022-01-28,112.05000305175781,112.05999755859375,107.58000183105469,110.29000091552734,107.49472045898438,1697800
2022-01-31,110.0,113.3499984741211,109.6500015258789,113.26000213623047,110.38945007324219,1398700
2022-02-01,114.20999908447266,115.87000274658203,111.54000091552734,114.58999633789062,111.68573760986328,1031400
2022-02-02,114.54000091552734,117.12000274658203,114.1500015258789,117.0,114.03465270996094,1021500
2022-02-03,116.62000274658203,116.94000244140625,115.68000030517578,116.05999755859375,113.11847686767578,979200
2022-02-04,116.25,119.55999755859375,115.58999633789062,118.36000061035156,115.36019134521484,1176600
2022-02-07,118.4000015258789,119.58000183105469,117.05999755859375,119.26000213623047,116.23738098144531,1205500
2022-02-08,119.51000213623047,123.05999755859375,118.36000061035156,122.6500015258789,119.54145812988281,1224200
2022-02-09,123.0,125.7699966430664,123.0,124.52999877929688,121.3738021850586,825900
2022-02-10,122.8499984741211,125.08000183105469,121.93000030517578,122.62000274658203,119.51222229003906,780800
2022-02-11,122.8499984741211,123.72000122070312,120.36000061035156,120.91999816894531,117.85530853271484,884100
2022-02-14,121.12999725341797,121.76000213623047,118.7300033569336,119.58000183105469,116.54927825927734,1075600
2022-02-15,120.69999694824219,123.2300033569336,120.38999938964844,123.08000183105469,119.9605712890625,862300
2022-02-16,123.0,125.05000305175781,121.94000244140625,124.48999786376953,121.33483123779297,965700
2022-02-17,123.31999969482422,123.62000274658203,120.58999633789062,121.12999725341797,118.05998229980469,815100
2022-02-18,120.9000015258789,122.12000274658203,119.33999633789062,120.37999725341797,117.32899475097656,705000
2022-02-22,120.56999969482422,120.72000122070312,117.91000366210938,118.48999786376953,115.48688507080078,751800
2022-02-23,118.4800033569336,119.29000091552734,115.22000122070312,115.36000061035156,112.43622589111328,1204300
2022-02-24,112.6500015258789,117.0,111.62000274658203,116.87999725341797,114.34391021728516,1100800
2022-02-25,117.52999877929688,121.01000213623047,117.37999725341797,120.91999816894531,118.29624938964844,545400
2022-02-28,118.93000030517578,120.41999816894531,117.83999633789062,120.29000091552734,117.67992401123047,1700100
2022-03-01,120.0,120.30999755859375,112.62999725341797,113.56999969482422,111.10572814941406,1199300
2022-03-02,114.70999908447266,118.04000091552734,114.70999908447266,117.4800033569336,114.93089294433594,703000
2022-03-03,118.04000091552734,118.55999755859375,116.69999694824219,118.08999633789062,115.52764892578125,556700
2022-03-04,116.58999633789062,117.47000122070312,114.80999755859375,117.0199966430664,114.48086547851562,718200
2022-03-07,116.16000366210938,116.16000366210938,110.41999816894531,110.55000305175781,108.1512680053711,772200
2022-03-08,110.95999908447266,110.97000122070312,106.8499984741211,107.3499984741211,105.02068328857422,954800
2022-03-09,111.1500015258789,114.11000061035156,110.69999694824219,112.16999816894531,109.73611450195312,610100
2022-03-10,110.22000122070312,113.0199966430664,109.86000061035156,112.33999633789062,109.90242004394531,489100
2022-03-11,112.77999877929688,113.37000274658203,108.75,108.80999755859375,106.44901275634766,604300
2022-03-14,110.19999694824219,111.98999786376953,109.47000122070312,110.66000366210938,108.25887298583984,803100
2022-03-15,111.44000244140625,113.04000091552734,110.68000030517578,112.93000030517578,110.47962188720703,661100
2022-03-16,114.13999938964844,116.12000274658203,113.2699966430664,116.04000091552734,113.52214050292969,554300
2022-03-17,115.27999877929688,118.2300033569336,115.27999877929688,118.19999694824219,115.63526916503906,471700
2022-03-18,118.30999755859375,120.88999938964844,116.62000274658203,120.3499984741211,117.73861694335938,1287700
2022-03-21,120.23999786376953,120.6500015258789,117.43000030517578,118.16999816894531,115.60591888427734,524700
2022-03-22,118.61000061035156,119.3499984741211,117.41999816894531,118.19999694824219,115.63526916503906,586600
2022-03-23,117.05000305175781,118.1500015258789,116.3499984741211,116.45999908447266,113.93302917480469,520800
2022-03-24,117.4000015258789,117.48999786376953,116.05000305175781,117.12000274658203,114.5787124633789,656500
2022-03-25,117.80999755859375,117.94000244140625,116.6500015258789,117.0199966430664,114.48086547851562,624700
2022-03-28,116.81999969482422,117.37999725341797,115.37000274658203,117.13999938964844,114.5982666015625,649700
2022-03-29,119.45999908447266,122.29000091552734,118.95999908447266,121.79000091552734,119.14736938476562,655000
2022-03-30,121.04000091552734,121.80000305175781,117.61000061035156,118.44000244140625,115.87006378173828,752800
2022-03-31,118.19999694824219,118.41999816894531,113.97000122070312,114.18000030517578,111.7024917602539,988100
2022-04-01,114.76000213623047,115.12999725341797,112.77999877929688,113.62999725341797,111.16442108154297,661100
2022-04-04,114.12999725341797,117.29000091552734,113.45999908447266,116.11000061035156,113.59062194824219,1121300
